"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.35236058319096e-07,1.05264564721085,0.629,0.43,0.00216932161149661,"6","TTC1"
1.50545445202481e-07,0.540798249439064,0.886,0.832,0.002414899486493,"6","UQCR11"
1.65278071382944e-07,0.70814648680882,0.843,0.689,0.0026512255430538,"6","ARL6IP1"
1.75382094362672e-07,0.967853674196812,0.643,0.491,0.00281330417567162,"6","EIF4E"
1.80744469471245e-07,0.632365680565695,0.829,0.698,0.00289932203478823,"6","EIF1B"
1.80889798090462e-07,0.898192983280802,0.657,0.506,0.0029016532511691,"6","PDCD5"
1.82060485230065e-07,0.787405437383728,0.757,0.558,0.00292043224357548,"6","YWHAH"
2.08762538001798e-07,1.11535933461964,0.586,0.382,0.00334875987208684,"6","PPA2"
2.15112804189278e-07,0.654377442893887,0.771,0.682,0.00345062449200022,"6","CHMP2A"
2.5315465066205e-07,0.564998976145542,0.871,0.771,0.00406085375126995,"6","ST13"
2.53896510179119e-07,0.634550696770369,0.786,0.698,0.00407275391978324,"6","C19orf70"
2.64488585632932e-07,0.507683619571203,0.943,0.812,0.00424266140213787,"6","CKB"
2.64501864143803e-07,0.540401516579833,0.8,0.804,0.00424287440273075,"6","ATP5G3"
2.79658511652602e-07,0.696177758106159,0.743,0.631,0.00448600218541939,"6","CHMP5"
3.0783990066155e-07,0.681437056067299,0.8,0.668,0.00493805984651192,"6","TMED2"
3.28554144765305e-07,0.693213919084061,0.743,0.643,0.00527033703618026,"6","PSMB7"
3.32267680634703e-07,0.896808729291634,0.671,0.498,0.00532990586506127,"6","TIMM8B"
3.61102900733838e-07,0.606638153971037,0.857,0.691,0.00579245163067149,"6","OCIAD1"
3.71342649315736e-07,0.613225055969417,0.8,0.71,0.00595670743767373,"6","WDR83OS"
4.3074065814673e-07,1.08105095411384,0.586,0.367,0.0069095108973317,"6","ANO10"
4.33972879011946e-07,0.763260083203847,0.7,0.567,0.00696135895223062,"6","PCNP"
4.90395700808466e-07,0.712053598180922,0.743,0.639,0.0078664374366686,"6","MINOS1"
4.96251616966812e-07,1.21876917620258,0.514,0.304,0.00796037218776464,"6","PFDN1"
4.96806603508954e-07,0.952960944444062,0.629,0.465,0.00796927472688714,"6","PIN4"
5.12015239454831e-07,1.0233488577468,0.6,0.415,0.00821323645609494,"6","MRPS25"
5.13615419879307e-07,0.778730407969842,0.743,0.558,0.00823890495028397,"6","FAM195A"
5.84732417701978e-07,1.2106567088474,0.529,0.332,0.00937969271235742,"6","SNRNP25"
6.40939664164789e-07,0.872118263250557,0.714,0.528,0.0102813131528674,"6","SEC11C"
6.6172896675327e-07,0.7801607021488,0.7,0.599,0.0106147943556892,"6","COX14"
6.66557087615128e-07,0.81696081093078,0.7,0.551,0.0106922422424343,"6","PSMG2"
6.69968735913331e-07,1.07310257540206,0.571,0.341,0.0107469684927857,"6","FGF7"
6.90921950252487e-07,0.514961790986781,0.786,0.759,0.0110830790040001,"6","SEC11A"
7.07490617066805e-07,1.04793482685532,0.6,0.401,0.0113488569883686,"6","SMIM22"
7.70037786426584e-07,0.912518965061731,0.643,0.552,0.0123521761320688,"6","MRPS36"
7.74373934224851e-07,0.782153555893472,0.714,0.547,0.0124217322789008,"6","SCP2"
7.87622706609072e-07,0.998667840308208,0.6,0.438,0.0126342558367161,"6","CAMTA1"
8.73404690745326e-07,0.971659767346923,0.6,0.426,0.0140102846442458,"6","ZCRB1"
8.81942711949097e-07,0.588868363161898,0.786,0.701,0.0141472430423755,"6","C11orf58"
8.88646123542493e-07,0.715965311678454,0.729,0.614,0.0142547724677451,"6","NSA2"
9.02919387934326e-07,1.12573695886808,0.557,0.39,0.0144837299018545,"6","CFL2"
1.01359157143791e-06,0.538077139588307,0.843,0.751,0.0162590223974355,"6","CSTB"
1.06049619099045e-06,0.625665278086488,0.786,0.678,0.0170114193996777,"6","HSBP1"
1.11258279424281e-06,1.24372580406871,0.5,0.299,0.0178469406024489,"6","APOA1BP"
1.13138142065498e-06,0.57113667086893,0.8,0.723,0.0181484893687265,"6","NDUFB11"
1.24185992876196e-06,0.833587421134178,0.714,0.509,0.0199206751172707,"6","ATP6V0D2"
1.36530592961604e-06,0.512844177299092,0.829,0.796,0.0219008724169709,"6","SHFM1"
